country,genre,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025
UAE,게임,25.0,0.0,0.0,20.2,20.2,20.2
UAE,도서/만화,25.0,20.2,20.2,20.0,20.0,20.0
UAE,드라마,25.2,20.0,20.0,20.0,19.8,20.0
UAE,뷰티,25.0,20.2,20.2,20.0,20.2,20.0
UAE,애니메이션,25.0,20.0,20.0,20.0,20.2,20.0
UAE,영화,25.0,20.0,20.2,20.0,20.0,20.2
UAE,예능,25.2,20.0,20.2,20.2,20.2,20.0
UAE,온라인/모바일게임,0.0,20.0,20.2,0.0,0.0,0.0
UAE,웹툰,25.2,20.0,20.0,20.0,20.0,20.0
UAE,음악,25.0,20.2,20.0,20.0,20.0,19.8
UAE,패션,25.2,20.4,20.2,20.0,20.0,20.2
UAE,한식,25.0,19.8,20.0,20.2,20.0,20.0
남아공,게임,25.2,0.0,0.0,20.0,20.2,19.8
남아공,도서/만화,25.2,20.2,20.0,20.2,19.8,20.2
남아공,드라마,25.0,20.2,20.2,20.0,20.2,20.0
남아공,뷰티,25.0,19.8,20.2,20.0,20.0,20.2
남아공,애니메이션,25.0,20.0,20.0,20.0,20.0,20.0
남아공,영화,25.0,20.0,20.4,20.0,20.0,20.2
남아공,예능,25.0,20.0,20.2,20.2,20.0,20.2
남아공,온라인/모바일게임,0.0,20.0,20.0,0.0,0.0,0.0
남아공,웹툰,25.2,20.0,20.2,20.2,19.8,20.2
남아공,음악,25.0,20.2,20.0,20.0,20.0,19.8
남아공,패션,25.2,20.0,20.0,20.0,20.0,20.0
남아공,한식,25.2,20.0,20.2,20.0,20.2,20.0
대만,게임,24.8,0.0,0.0,20.0,20.0,19.8
대만,도서/만화,24.8,20.0,20.0,20.2,19.8,20.0
대만,드라마,24.8,20.2,20.2,19.8,20.0,20.0
대만,뷰티,25.0,19.8,20.2,20.0,20.0,19.8
대만,애니메이션,25.0,19.8,20.2,19.8,20.2,20.2
대만,영화,25.0,20.2,19.8,20.0,19.8,20.2
대만,예능,25.2,20.0,20.2,19.8,20.0,20.0
대만,온라인/모바일게임,0.0,20.0,20.0,0.0,0.0,0.0
대만,웹툰,25.2,20.0,20.0,19.8,20.0,20.0
대만,음악,25.2,20.0,20.0,19.8,20.0,19.8
대만,패션,25.0,19.8,20.0,20.0,20.2,20.0
대만,한식,25.0,19.8,20.4,20.2,19.8,20.2
독일,게임,0.0,0.0,0.0,19.8,20.0,20.0
독일,도서/만화,0.0,0.0,0.0,20.0,20.0,20.0
독일,드라마,0.0,0.0,0.0,20.2,20.0,20.0
독일,뷰티,0.0,0.0,0.0,20.0,20.0,20.0
독일,애니메이션,0.0,0.0,0.0,20.0,20.2,20.0
독일,영화,0.0,0.0,0.0,19.8,20.0,20.0
독일,예능,0.0,0.0,0.0,20.0,19.8,20.2
독일,웹툰,0.0,0.0,0.0,20.0,20.0,20.0
독일,음악,0.0,0.0,0.0,19.8,20.0,20.0
독일,패션,0.0,0.0,0.0,20.0,20.0,20.0
독일,한식,0.0,0.0,0.0,20.0,19.8,20.2
러시아,게임,25.2,0.0,0.0,20.2,20.0,20.0
러시아,도서/만화,25.2,20.0,19.8,19.9,20.0,20.0
러시아,드라마,25.0,20.2,19.8,20.0,19.8,20.2
러시아,뷰티,25.0,20.0,19.8,19.8,20.2,20.2
러시아,애니메이션,25.2,20.2,20.0,20.0,20.0,20.0
러시아,영화,25.0,20.0,20.0,19.9,20.2,20.0
러시아,예능,25.0,20.0,20.2,20.1,20.0,20.2
러시아,온라인/모바일게임,0.0,20.2,20.0,0.0,0.0,0.0
러시아,웹툰,25.0,20.0,20.0,20.1,20.2,20.2
러시아,음악,25.2,20.2,20.0,20.2,19.8,20.0
러시아,패션,25.2,20.2,20.0,20.1,20.0,20.2
러시아,한식,25.0,20.2,19.8,20.1,20.0,20.0
말레이시아,게임,25.2,0.0,0.0,19.8,20.0,20.2
말레이시아,도서/만화,25.0,20.0,20.2,20.0,20.0,20.0
말레이시아,드라마,25.0,20.2,20.0,20.0,20.0,20.0
말레이시아,뷰티,25.2,20.0,20.2,20.0,20.0,20.2
말레이시아,애니메이션,24.8,20.0,20.0,20.0,20.2,20.2
말레이시아,영화,25.0,20.0,20.0,19.8,20.2,20.0
말레이시아,예능,25.0,20.2,20.0,20.0,20.0,20.0
말레이시아,온라인/모바일게임,0.0,20.2,20.2,0.0,0.0,0.0
말레이시아,웹툰,24.8,20.0,20.2,20.0,19.8,20.0
말레이시아,음악,25.0,19.8,20.2,20.0,20.2,20.0
말레이시아,패션,24.8,20.0,20.2,20.0,20.2,20.0
말레이시아,한식,25.0,20.0,20.2,20.0,20.0,20.0
멕시코,게임,0.0,0.0,0.0,20.1,20.0,19.8
멕시코,도서/만화,0.0,0.0,0.0,20.1,20.2,20.0
멕시코,드라마,0.0,0.0,0.0,20.1,20.0,20.2
멕시코,뷰티,0.0,0.0,0.0,20.1,20.0,20.2
멕시코,애니메이션,0.0,0.0,0.0,20.1,19.8,20.0
멕시코,영화,0.0,0.0,0.0,20.1,19.8,20.0
멕시코,예능,0.0,0.0,0.0,20.2,20.0,20.0
멕시코,웹툰,0.0,0.0,0.0,19.8,20.0,20.0
멕시코,음악,0.0,0.0,0.0,20.0,20.0,20.2
멕시코,패션,0.0,0.0,0.0,19.9,19.8,20.2
멕시코,한식,0.0,0.0,0.0,20.1,20.0,20.2
미국,게임,25.0,0.0,0.0,20.0,20.0,20.2
미국,도서/만화,25.0,20.0,20.0,20.0,20.0,20.2
미국,드라마,25.2,20.0,20.0,20.0,20.2,20.2
미국,뷰티,25.0,20.2,20.0,16.2,20.2,20.0
미국,애니메이션,25.0,20.0,20.4,20.2,19.8,20.2
미국,영화,24.8,20.0,20.0,20.0,20.0,20.2
미국,예능,25.0,20.0,20.0,20.2,19.8,20.0
미국,온라인/모바일게임,0.0,20.0,20.0,0.0,0.0,0.0
미국,웹툰,24.8,20.0,20.0,20.0,20.2,20.4
미국,음악,25.0,20.0,20.0,20.0,20.0,20.2
미국,패션,25.0,20.0,20.0,20.2,20.0,20.2
미국,한식,25.0,19.8,20.0,20.2,20.2,20.2
베트남,게임,25.0,0.0,0.0,20.2,19.8,19.8
베트남,도서/만화,25.0,20.0,20.0,20.2,20.2,20.0
베트남,드라마,25.0,20.0,20.0,19.8,20.0,20.0
베트남,뷰티,25.2,20.0,20.2,19.8,20.0,20.0
베트남,애니메이션,24.8,20.0,19.8,20.0,20.0,20.2
베트남,영화,25.0,20.0,19.8,19.8,20.2,20.0
베트남,예능,25.2,20.0,20.0,20.0,20.0,19.8
베트남,온라인/모바일게임,0.0,20.0,20.0,0.0,0.0,0.0
베트남,웹툰,25.0,20.2,20.0,20.0,20.0,20.0
베트남,음악,25.0,19.8,20.0,20.0,20.0,19.8
베트남,패션,25.0,19.8,19.8,19.8,20.0,20.0
베트남,한식,25.0,20.2,20.0,19.8,20.0,20.0
브라질,게임,25.0,0.0,0.0,0.0,20.2,20.2
브라질,도서/만화,25.0,19.8,20.0,0.0,19.8,20.0
브라질,드라마,24.8,19.8,20.2,0.0,20.0,20.2
브라질,뷰티,25.2,20.0,20.0,0.0,20.0,20.2
브라질,애니메이션,25.0,20.2,20.0,0.0,20.0,20.2
브라질,영화,24.8,20.0,20.2,0.0,20.0,20.0
브라질,예능,25.0,20.0,20.2,0.0,20.0,20.2
브라질,온라인/모바일게임,0.0,19.8,20.2,0.0,0.0,0.0
브라질,웹툰,24.8,20.2,20.2,0.0,20.2,20.0
브라질,음악,25.0,20.0,20.0,0.0,20.2,20.0
브라질,패션,25.0,20.0,20.0,0.0,20.0,20.0
브라질,한식,25.2,20.0,20.0,0.0,20.0,20.2
사우디아라비아,게임,0.0,0.0,0.0,20.0,20.2,20.0
사우디아라비아,도서/만화,0.0,0.0,0.0,20.0,20.2,20.0
사우디아라비아,드라마,0.0,0.0,0.0,20.0,20.0,20.2
사우디아라비아,뷰티,0.0,0.0,0.0,20.0,20.2,20.0
사우디아라비아,애니메이션,0.0,0.0,0.0,20.0,20.2,20.0
사우디아라비아,영화,0.0,0.0,0.0,20.2,20.0,20.0
사우디아라비아,예능,0.0,0.0,0.0,20.2,20.0,20.0
사우디아라비아,웹툰,0.0,0.0,0.0,19.8,20.2,20.0
사우디아라비아,음악,0.0,0.0,0.0,19.8,20.0,20.0
사우디아라비아,패션,0.0,0.0,0.0,20.2,20.0,20.0
사우디아라비아,한식,0.0,0.0,0.0,20.0,20.0,20.0
스페인,게임,0.0,0.0,0.0,20.0,19.8,20.0
스페인,도서/만화,0.0,0.0,0.0,19.8,20.0,20.2
스페인,드라마,0.0,0.0,0.0,20.2,20.0,20.0
스페인,뷰티,0.0,0.0,0.0,19.8,20.0,20.0
스페인,애니메이션,0.0,0.0,0.0,20.0,20.0,20.0
스페인,영화,0.0,0.0,0.0,20.0,20.0,20.0
스페인,예능,0.0,0.0,0.0,20.0,20.2,20.2
스페인,웹툰,0.0,0.0,0.0,20.0,20.2,20.0
스페인,음악,0.0,0.0,0.0,20.0,20.2,20.0
스페인,패션,0.0,0.0,0.0,19.8,20.2,20.0
스페인,한식,0.0,0.0,0.0,20.2,20.0,20.2
아르헨티나,게임,0.0,0.0,0.0,20.0,19.8,20.0
아르헨티나,도서/만화,0.0,20.0,20.2,19.8,19.8,20.0
아르헨티나,드라마,0.0,20.2,20.0,20.0,20.2,20.4
아르헨티나,뷰티,0.0,20.0,20.0,20.2,20.0,20.0
아르헨티나,애니메이션,0.0,20.2,20.2,20.0,20.0,20.0
아르헨티나,영화,0.0,20.2,20.4,20.0,20.0,20.2
아르헨티나,예능,0.0,19.8,20.2,19.8,20.2,20.0
아르헨티나,온라인/모바일게임,0.0,20.0,20.2,0.0,0.0,0.0
아르헨티나,웹툰,0.0,20.2,20.0,20.0,20.2,20.0
아르헨티나,음악,0.0,19.8,20.2,20.0,20.2,20.2
아르헨티나,패션,0.0,19.8,20.2,20.0,20.2,20.0
아르헨티나,한식,0.0,20.0,20.2,19.8,20.0,20.4
영국,게임,25.0,0.0,0.0,20.0,20.0,20.2
영국,도서/만화,25.0,20.0,20.0,20.0,20.0,20.2
영국,드라마,25.0,20.2,20.2,19.8,20.0,19.8
영국,뷰티,25.0,20.0,20.2,20.2,19.8,20.2
영국,애니메이션,25.0,20.0,20.0,20.0,19.8,20.0
영국,영화,25.0,20.0,20.0,20.2,19.8,20.0
영국,예능,25.0,20.0,20.0,20.0,20.0,20.0
영국,온라인/모바일게임,0.0,19.8,20.2,0.0,0.0,0.0
영국,웹툰,25.0,20.0,19.8,19.8,20.0,20.2
영국,음악,25.2,20.2,20.2,20.0,20.2,20.0
영국,패션,25.0,20.0,20.2,20.0,20.2,20.2
영국,한식,24.8,20.0,20.2,20.0,20.0,20.2
이집트,게임,0.0,0.0,0.0,20.2,20.2,20.2
이집트,도서/만화,0.0,0.0,0.0,20.0,20.2,19.8
이집트,드라마,0.0,0.0,0.0,20.2,20.2,20.0
이집트,뷰티,0.0,0.0,0.0,20.0,20.0,20.2
이집트,애니메이션,0.0,0.0,0.0,20.0,20.0,20.0
이집트,영화,0.0,0.0,0.0,20.0,20.0,20.2
이집트,예능,0.0,0.0,0.0,19.8,20.0,20.0
이집트,웹툰,0.0,0.0,0.0,20.2,20.0,19.8
이집트,음악,0.0,0.0,0.0,20.0,20.0,20.0
이집트,패션,0.0,0.0,0.0,20.0,20.2,20.0
이집트,한식,0.0,0.0,0.0,20.0,20.0,20.0
이탈리아,게임,0.0,0.0,0.0,20.2,20.0,20.2
이탈리아,도서/만화,0.0,0.0,0.0,19.8,20.0,20.0
이탈리아,드라마,0.0,0.0,0.0,20.0,20.0,20.2
